City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Scarborough,GB,2022-10-02 20:45:36,54.2797,-0.4044,53.65,82,6,1.99
220,Mangan,IN,2022-10-02 20:46:44,27.5167,88.5333,71.28,67,11,5.75
221,Cabedelo,BR,2022-10-02 20:46:45,-6.9811,-34.8339,77.67,76,26,13.62
222,Coquimbo,CL,2022-10-02 20:46:45,-29.9533,-71.3436,62.33,67,20,10.36
223,Valdivia,CL,2022-10-02 20:46:46,-39.8142,-73.2459,66.29,62,100,4.21
224,Babaeski,TR,2022-10-02 20:46:46,41.4325,27.0931,64.72,47,0,10.92
225,Amersham,GB,2022-10-02 20:46:47,51.6667,-0.6167,56.35,83,8,2.3
226,Vysokogornyy,RU,2022-10-02 20:46:47,50.1167,139.15,49.08,98,100,3.83
227,Longyearbyen,SJ,2022-10-02 20:46:48,78.2186,15.6401,37.24,87,75,1.14
228,Ust-Tsilma,RU,2022-10-02 20:46:48,65.441,52.1498,41.65,99,100,3.78
229,Guerrero Negro,MX,2022-10-02 20:46:54,27.9769,-114.0611,73.63,61,0,14.45
230,Ilo,PE,2022-10-02 20:46:54,-17.6394,-71.3375,62.91,74,9,5.23
231,Mezhdurechensk,RU,2022-10-02 20:46:55,53.6942,88.0603,23.67,90,14,2.73
232,Usinsk,RU,2022-10-02 20:46:55,65.9939,57.5281,41.61,96,100,8.66
233,Seoul,KR,2022-10-02 20:42:53,37.5683,126.9778,71.04,94,100,8.05
234,Yarada,IN,2022-10-02 20:46:56,17.65,83.2667,77.32,100,75,5.75
235,Puerto Del Rosario,ES,2022-10-02 20:46:57,28.5004,-13.8627,73.15,88,20,6.91
236,Tigre,AR,2022-10-02 20:46:57,-34.426,-58.5796,81.05,44,0,6.91
237,Sorland,NO,2022-10-02 20:46:58,67.667,12.6934,51.66,86,100,13.02
238,Meulaboh,ID,2022-10-02 20:46:58,4.1363,96.1285,75.88,86,98,2.93
239,Beyneu,KZ,2022-10-02 20:46:59,45.3167,55.2,52.65,42,0,14.09
240,Guane,CU,2022-10-02 20:46:59,22.2025,-84.0875,82.78,61,87,2.24
241,Palmer,US,2022-10-02 20:47:00,42.1584,-72.3287,55.0,50,75,9.22
242,Port Hardy,CA,2022-10-02 20:45:37,50.6996,-127.4199,53.78,94,20,4.61
243,Santa Fe,AR,2022-10-02 20:42:49,-31.6333,-60.7,84.0,30,0,4.0
244,Huamachuco,PE,2022-10-02 20:47:01,-7.8,-78.0667,61.45,44,85,5.06
245,Tadine,NC,2022-10-02 20:47:02,-21.55,167.8833,71.85,82,100,12.5
246,Vestmannaeyjar,IS,2022-10-02 20:47:02,63.4427,-20.2734,51.21,92,100,20.45
247,Abu Samrah,SY,2022-10-02 20:47:03,35.3029,37.1841,75.65,47,33,7.65
248,Mahibadhoo,MV,2022-10-02 20:47:03,3.7833,72.9667,81.27,77,100,19.35
249,South Sioux City,US,2022-10-02 20:47:03,42.4739,-96.4136,80.87,25,0,18.41
250,Boende,CD,2022-10-02 20:47:04,-0.2167,20.8667,68.07,94,98,1.57
251,Tessalit,ML,2022-10-02 20:47:05,20.1986,1.0114,95.95,20,79,4.94
252,Faanui,PF,2022-10-02 20:47:06,-16.4833,-151.75,78.67,72,45,14.9
253,Provideniya,RU,2022-10-02 20:47:06,64.3833,-173.3,39.36,87,75,11.18
254,Kysyl-Syr,RU,2022-10-02 20:47:07,63.8986,122.7617,21.69,85,50,3.83
255,Airai,TL,2022-10-02 20:47:07,-8.9266,125.4092,61.77,90,95,0.83
256,Dolinsk,RU,2022-10-02 20:47:08,47.35,142.8,51.35,95,49,8.59
257,Wladyslawowo,PL,2022-10-02 20:47:09,54.7909,18.4009,52.93,83,26,19.13
258,Mackenzie,CA,2022-10-02 20:45:08,55.2999,-123.1698,64.62,36,0,2.3
259,Roma,US,2022-10-02 20:47:09,43.2128,-75.4557,63.63,43,0,11.5
260,Hami,CN,2022-10-02 20:47:11,42.8,93.45,41.23,18,2,3.44
261,Jacmel,HT,2022-10-02 20:47:12,18.2342,-72.5347,84.04,70,87,7.81
262,Ada,US,2022-10-02 20:47:12,43.4166,-116.1262,74.8,31,0,5.75
263,Agadir,MA,2022-10-02 20:47:13,30.4202,-9.5982,73.85,50,1,1.97
264,Nizhniy Kuranakh,RU,2022-10-02 20:47:14,58.8353,125.4869,22.98,95,100,4.97
265,Mondovi,IT,2022-10-02 20:47:14,44.396,7.8176,63.59,83,24,2.53
266,Nanortalik,GL,2022-10-02 20:47:15,60.1432,-45.2371,37.56,81,47,12.8
267,Roald,NO,2022-10-02 20:47:15,62.5833,6.1333,54.91,82,40,14.97
268,Talaya,RU,2022-10-02 20:47:16,61.3833,152.75,12.7,95,100,2.1
269,Faya,SA,2022-10-02 20:47:16,18.3851,42.4509,62.71,58,5,1.7
270,Kjollefjord,NO,2022-10-02 20:47:22,70.9457,27.3465,42.85,93,75,2.3
271,The Valley,AI,2022-10-02 20:47:23,18.217,-63.0578,85.86,79,20,9.22
272,Namatanai,PG,2022-10-02 20:47:23,-3.6667,152.4333,80.94,73,8,6.44
273,Uruzgan,AF,2022-10-02 20:47:24,32.8333,66.0,62.1,27,0,1.54
274,Cibitoke,BI,2022-10-02 20:47:24,-2.8833,29.25,63.61,82,100,4.99
275,Lagoa,PT,2022-10-02 20:47:25,39.05,-27.9833,70.83,88,100,12.57
276,Hukuntsi,BW,2022-10-02 20:47:25,-24.0,21.75,77.07,18,0,11.59
277,Guaruja,BR,2022-10-02 20:47:26,-23.9931,-46.2564,71.89,36,100,2.3
278,Naze,JP,2022-10-02 20:47:26,28.3667,129.4833,77.92,72,13,8.84
279,Sao Felix Do Xingu,BR,2022-10-02 20:47:27,-6.6447,-51.995,85.48,42,100,1.66
280,Ust-Kut,RU,2022-10-02 20:47:28,56.7938,105.7672,29.7,96,100,4.85
281,Avera,US,2022-10-02 20:47:28,33.194,-82.5271,76.55,44,59,11.52
