City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Ihosy,MG,-22.4,46.1167,69.66,53,0,2.93,clear sky
292,Santander,ES,43.4647,-3.8044,64.45,92,100,4.61,overcast clouds
293,Nome,US,64.5011,-165.4064,44.17,98,100,3.74,overcast clouds
294,Senador Jose Porfirio,BR,-2.5908,-51.9542,91.74,43,76,2.35,broken clouds
295,Tual,ID,-5.6667,132.75,82.09,77,100,9.01,light rain
296,Udachnyy,RU,66.4167,112.4,26.46,79,100,8.52,overcast clouds
297,Newport,GB,51.5877,-2.9984,63.14,87,100,17.96,light rain
298,Buraydah,SA,26.326,43.975,86.45,14,0,12.1,clear sky
299,Baruun-Urt,MN,46.6806,113.2792,23.72,52,3,4.94,clear sky
300,Tiznit,MA,29.5833,-9.5,74.93,31,8,4.32,clear sky
301,Cabras,IT,39.93,8.5314,67.17,74,5,2.26,clear sky
302,Manono,CD,-7.3,27.4167,78.26,56,87,3.31,light rain
303,Hoshcha,UA,50.6003,26.6744,48.6,86,43,14.56,scattered clouds
304,Rio Gallegos,AR,-51.6226,-69.2181,59.05,38,75,18.41,broken clouds
305,Rosetown,CA,51.5501,-108.0014,75.65,31,36,9.22,scattered clouds
306,Erzin,TR,36.9559,36.2,71.73,68,3,1.3,clear sky
307,Bonavista,CA,48.6499,-53.1147,58.01,64,4,17.92,clear sky
308,Yerbogachen,RU,61.2767,108.0108,26.46,74,67,8.28,broken clouds
309,Cockburn Town,TC,21.4612,-71.1419,83.79,67,54,1.83,broken clouds
310,Esmeralda,CU,21.8525,-78.1169,86.77,50,45,4.56,scattered clouds
311,Urumqi,CN,43.801,87.6005,41.95,45,0,4.47,clear sky
312,Touros,BR,-5.1989,-35.4608,78.8,69,58,15.84,broken clouds
313,Tanem,NO,63.3078,10.4319,49.89,93,100,5.91,light rain
314,Geraldton,AU,-28.7667,114.6,55.81,88,100,8.05,overcast clouds
315,Murgab,TM,37.4966,61.9714,58.87,55,0,6.91,clear sky
316,Namibe,AO,-15.1961,12.1522,65.95,87,80,5.95,broken clouds
317,Chilca,PE,-12.5211,-76.7372,62.17,79,84,11.25,broken clouds
318,Nishihara,JP,26.1842,127.7558,78.08,92,0,9.22,clear sky
319,Jian,CN,27.1172,114.9793,67.59,77,94,10.11,overcast clouds
320,Santiago De Cao,PE,-7.9589,-79.2392,62.73,82,100,13.8,fog
321,Makushino,RU,55.2103,67.2442,43.95,56,19,7.76,few clouds
322,Chicama,PE,-7.8447,-79.1469,61.34,62,24,11.21,few clouds
323,Fortuna,US,40.5982,-124.1573,59.67,66,93,6.82,overcast clouds
324,Kruje,AL,41.5092,19.7928,48.22,66,0,1.14,clear sky
325,Roman,RO,46.9167,26.9167,54.09,67,98,2.57,overcast clouds
326,Henties Bay,NA,-22.116,14.2845,54.84,91,1,8.01,clear sky
327,Yar-Sale,RU,66.8333,70.8333,38.48,86,95,14.72,overcast clouds
328,Nouadhibou,MR,20.931,-17.0347,76.98,65,66,16.11,haze
329,Maturin,VE,9.75,-63.1767,93.04,66,85,4.61,overcast clouds
330,Safonovo,RU,55.15,33.2167,41.18,98,100,5.21,light rain
331,Peterborough,GB,52.5736,-0.2478,63.36,77,100,17.27,overcast clouds
332,Meulaboh,ID,4.1363,96.1285,73.67,98,100,3.6,light rain
333,Shahrud,IR,36.4182,54.9763,68.67,26,0,3.71,clear sky
334,Muisne,EC,0.6,-80.0333,77.79,76,93,14.25,overcast clouds
335,Sorata,BO,-15.7667,-68.6333,54.36,67,75,9.98,broken clouds
336,Puerto Madero,MX,14.7208,-92.4215,83.43,74,29,5.79,scattered clouds
337,Makat,KZ,47.6469,53.3463,57.0,23,93,16.75,overcast clouds
338,Chitrakonda,IN,18.1167,82.0833,71.42,96,100,2.15,overcast clouds
339,Seoul,KR,37.5683,126.9778,58.39,88,100,5.75,overcast clouds
340,Benjamin Hill,MX,30.1667,-111.1,82.26,43,0,8.39,clear sky
341,Abha,SA,18.2164,42.5053,68.25,21,0,5.75,clear sky
342,Dalbandin,PK,28.8947,64.4101,74.75,12,0,2.44,clear sky
343,Lovozero,RU,68.005,35.0117,39.34,98,100,4.03,overcast clouds
344,Hargeysa,SO,9.56,44.065,71.49,58,32,11.5,scattered clouds
345,Slave Lake,CA,55.2834,-114.769,55.38,71,100,5.75,overcast clouds
346,Jalu,LY,29.0331,21.5482,76.37,49,0,8.43,clear sky
347,Dhidhdhoo,MV,6.8833,73.1,81.59,78,100,18.19,overcast clouds
